,V3 minus Equal Weight,V3 minus Markowitz,V3 minus Original HMM-MPC
2022-04-14,0.35022825945588787,0.629232146121423,0.37750044483645606
2022-04-18,0.3687327345668847,0.6702731921540002,0.4152303510330668
2022-04-19,0.3276245451332227,0.6251058690774274,0.3677558203038216
2022-04-20,0.3392423192940819,0.6245701764747822,0.36797798361213285
2022-04-21,0.306905774602503,0.5649416613084619,0.31474979959824045
2022-04-22,0.3013193501311249,0.5493549224670522,0.29608679413905437
2022-04-25,0.25201779715573247,0.48079790035375725,0.23096664174339576
2022-04-26,0.2946976435953914,0.5203387159844626,0.27323809058495074
2022-04-27,0.3048134486951972,0.5446100702113008,0.2936219732711507
2022-04-28,0.3234459069204809,0.5789459468884339,0.3193041166216779
2022-04-29,0.329709245630208,0.5750223148962901,0.3260098124707538
2022-05-02,0.3413458728523304,0.6106801896761973,0.36198017977711805
2022-05-03,0.3750613115934578,0.6653179412659518,0.4156298950953219
2022-05-04,0.39923774692720215,0.7150686317544026,0.4565219948194086
2022-05-05,0.42998296958572446,0.7248860230272229,0.4719479676986946
2022-05-06,0.49389014566402567,0.7930884333751123,0.536296157804125
2022-05-09,0.3958184788615364,0.6454299866658428,0.38658911928696815
2022-05-10,0.415731242366534,0.6668369075457607,0.41226802056269785
2022-05-11,0.460204731627337,0.7064790212964147,0.45008741215021075
2022-05-12,0.4739791724054969,0.7067543341872828,0.46306647122393674
2022-05-13,0.4989392236280903,0.7511153610760979,0.5006679604856612
2022-05-16,0.5602415719910736,0.8040803599002011,0.5535772554318603
2022-05-17,0.5410160322073105,0.8191441576431955,0.5667860533131721
2022-05-18,0.5469131470247497,0.8365114344955851,0.5846920093236054
2022-05-19,0.5447617026440223,0.8361895073323922,0.5906966055173775
2022-05-20,0.5670190262245316,0.8439538871942172,0.5992370296989153
2022-05-23,0.5854159347980339,0.8776424323842593,0.6251685762227739
2022-05-24,0.6127096555532812,0.8828711487971108,0.6221501132404135
2022-05-25,0.6294802855626989,0.9221200930499771,0.6615115218503065
2022-05-26,0.6059217474496217,0.9269164264323453,0.6653878137106433
2022-05-27,0.6021443326983316,0.9449654400916434,0.6775256537925665
2022-05-31,0.5777540774223295,0.9217721541760713,0.6593182916996843
2022-06-01,0.6169226104692145,0.9761884738430533,0.7081113773732501
2022-06-02,0.5748408531677853,0.9454330279242642,0.67433393443104
