decision_date,effective_date,solver_status,turnover,transaction_cost,cost_multiplier,prob_calm,prob_transition,prob_stress,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2017-09-15,2017-09-18,optimal,7.252964567510765e-13,7.27196480177408e-16,1.0026196507767906,0.9947606986088752,0.0052393012286684,1.624564491200121e-10,1.3774328883943193e-13,9.429868235726903e-14,0.17255001081264548,0.18024828421128505,0.2067872210389023,0.17779613173642442,0.14109665903975635,0.0983531717752036,0.023168521385550825
2017-09-22,2017-09-25,optimal,7.482142708500665e-14,7.482142708500665e-17,1.0,1.0,6.474929508674368e-32,1.3660843154707289e-39,1.4824784237592307e-13,2.1614966156693686e-14,0.17749780275808738,0.1841443715604204,0.20642002162840387,0.17395366763728237,0.1374506603510243,0.09734245674958493,0.02319101931502694
2017-09-29,2017-10-02,optimal,1.2872416921050732e-13,1.2872416921050733e-16,1.0,1.0,8.302272742879381e-53,1.4178777850172463e-60,3.375987729846291e-14,7.430462300120753e-15,0.17946806483472375,0.18373939338695536,0.20727499025685706,0.17315232657379445,0.1362032951273904,0.09696431939659578,0.023197610423641973
2017-10-06,2017-10-09,optimal,3.126398204866797e-14,3.1263982048667974e-17,1.0,1.0,5.65579682429984e-60,2.453685147431617e-67,7.792429168862496e-15,2.2130286559269414e-15,0.1808712476134109,0.18413849513763073,0.20795955269045144,0.17072173643756233,0.13568058022963136,0.09726643549125998,0.023361952400043223
2017-10-13,2017-10-16,optimal,1.6286738348105481e-15,1.6286738348105482e-18,1.0,1.0,3.8923321794075085e-55,4.368778871176861e-63,8.007183785941275e-15,4.891802830244079e-16,0.17859927173483597,0.18366224727295902,0.2089760214474547,0.17239754288776055,0.1369249168448843,0.096304099417791,0.02313590039430587
2017-10-20,2017-10-23,optimal,5.00539230396774e-14,5.00539230396774e-17,1.0,1.0,4.5256610787641164e-24,1.6128687005365578e-31,8.92247516631385e-15,2.2295813625133572e-14,0.1804122591726439,0.1842477126562821,0.20910956664745423,0.16871652082751887,0.1374457971307845,0.09710961452466918,0.02295852904061593
2017-10-27,2017-10-30,optimal,2.1373773809200275e-10,2.1373773809200276e-13,1.0,1.0,2.8048485473076438e-24,1.5989039071830243e-32,3.798904988669822e-11,1.131094468946855e-12,0.18127358507424254,0.1825440775752072,0.21393538010657964,0.1661327900773653,0.13785573502704357,0.09504966437179717,0.023208767728644428
2017-11-03,2017-11-06,optimal,3.760493217456637e-08,3.7604932174566376e-11,1.0,1.0,1.3822899934764042e-21,1.1468675558370992e-30,6.904952571615424e-09,2.5565722054951965e-11,0.1809569967270563,0.18099055158261115,0.21680579330164584,0.16596754873153335,0.13801496258494034,0.09427142396146954,0.022992716180225158
2017-11-10,2017-11-13,optimal,4.86943158645514e-09,4.86943158645514e-12,1.0,1.0,3.737020338525336e-19,9.604063778629691e-27,1.9690060029047092e-09,1.441401414978693e-10,0.17669190180646485,0.17952273582439185,0.21741202229862808,0.1699752664662423,0.13913100278247978,0.09404525407683437,0.023221814631812564
2017-11-17,2017-11-20,optimal,1.4623372290571791e-09,1.4623372290571792e-12,1.0,1.0,5.0653091898816377e-23,3.607047886163286e-30,5.708561842460658e-10,7.956112135129463e-11,0.17701983154189474,0.17789290291334312,0.2166365026028226,0.17127127850682683,0.13971396414929713,0.09397796450422864,0.02348755513116965
2017-11-24,2017-11-27,optimal,7.242060541845641e-10,7.242060541845642e-13,1.0,1.0,1.3236434718424973e-19,4.831940403874447e-27,1.6326572557013346e-10,3.163481676346828e-11,0.1760651962685358,0.17880728858713912,0.21887755428849784,0.16998884393289482,0.13881642155245524,0.0938656722281714,0.023579022947405097
2017-12-01,2017-12-04,optimal,6.549175488349002e-08,6.549175488349002e-11,1.0,1.0,4.4625415719791785e-18,1.4509460895917357e-25,0.0,0.0,0.18170776904790953,0.18079371338602473,0.21145705011923735,0.17110993082253287,0.13749254239439898,0.09382021585511426,0.023618778374782292
