decision_date,effective_date,candidate,solver_status,turnover,transaction_cost,effective_alpha,regime,prob_calm,prob_transition,prob_stress,gamma,base_alpha,turnover_cap,stress_multiplier,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2022-04-01,2022-04-04,g5_a100_cap25_s1,optimal,0.13436564796726555,0.00019860663271335885,0.8078678838446429,transition,0.0473478757980283,0.9490928101687212,0.0035593140332505,5.0,1.0,0.25,1.0,0.0,0.5203823003603703,0.0485617283182848,0.0,0.3389501625520514,0.059301172146145775,0.0,0.03280463662314763,0.0
2022-04-08,2022-04-11,g5_a100_cap25_s1,optimal,0.18449281726362124,0.00027044590981629453,0.8127934497663242,transition,0.07162739298610651,0.9249680985007889,0.0034045085131046006,5.0,1.0,0.25,1.0,0.0,0.5999999952207604,3.821650680200268e-09,0.0,0.18740800962264997,0.06053629173999515,0.11832425669945491,0.033731442895489,0.0
2022-04-14,2022-04-18,g5_a100_cap25_s1,optimal,0.026510135496607096,3.9207969231309577e-05,0.8075442159589598,transition,0.0454939092999898,0.9510514998088144,0.0034545908911959,5.0,1.0,0.25,1.0,0.0,0.5999999999248372,7.643847945547916e-10,0.0,0.16166782891498632,0.06105077196313077,0.11780133560046946,0.05948006283219132,0.0
2022-04-22,2022-04-25,g5_a100_cap25_s1,optimal,0.006030205407901012,8.912367702191974e-06,0.8079613192001761,transition,0.04751942844586871,0.9490526460230256,0.0034279255311057007,5.0,1.0,0.25,1.0,0.0,0.5999999724151803,0.0,0.0,0.1576074697643158,0.0636534656968259,0.1192483214416718,0.05949077068200622,0.0
2022-04-29,2022-05-02,g5_a100_cap25_s1,optimal,0.0023872822757918456,3.529297959004502e-06,0.8078050581612723,transition,0.04663048435824971,0.9499894296186892,0.0033800860230612005,5.0,1.0,0.25,1.0,2.5148993469404484e-19,0.6,2.514386812075531e-19,2.515362786692743e-19,0.15858393424729963,0.06349121243105675,0.11650697834068122,0.06141787498096243,2.514620365776727e-19
2022-05-06,2022-05-09,g5_a100_cap25_s1,optimal,0.07790375171588412,0.00011517646153640872,0.8077918832508065,transition,0.0464281873768271,0.95025235879082,0.0033194538323529,5.0,1.0,0.25,1.0,0.0,0.6000000078820771,0.0,0.0,0.09416985417172101,0.059096032051429596,0.18910888788573113,0.05762521800904111,0.0
2022-05-13,2022-05-16,g5_a100_cap25_s1,optimal,0.011280380238364564,1.6681368551729823e-05,0.8076548261789501,transition,0.04571912384289171,0.9509719904023789,0.0033088857547294006,5.0,1.0,0.25,1.0,0.0,0.5970714140863493,0.0,0.0,0.0816893050186854,0.060546463297658316,0.20236492732456265,0.05832789027274422,0.0
2022-05-20,2022-05-23,g5_a100_cap25_s1,optimal,0.08255956997952256,0.00012215015569690168,0.8073493736924071,transition,0.044259833897225404,0.9524010703538015,0.0033390957489731004,5.0,1.0,0.25,1.0,0.0,0.5999999745574035,0.0,0.0,3.737469326931393e-08,0.055577056662204694,0.28561450689595225,0.05880842450974631,0.0
2022-05-27,2022-05-31,g5_a100_cap25_s1,optimal,0.00747074752175759,1.1056175557660434e-05,0.8071910658932868,transition,0.0434915057914731,0.9531590825085096,0.0033494117000173,5.0,1.0,0.25,1.0,0.0,0.5999999990103606,0.0,0.0,7.67001465056191e-09,0.06260418389182457,0.280604868441421,0.05679094098637925,0.0
2022-06-03,2022-06-06,g5_a100_cap25_s1,optimal,0.006593511845743177,9.772075381705902e-06,0.8063298070503688,transition,0.0392127849087482,0.9574255485770722,0.0033616665141796,5.0,1.0,0.25,1.0,0.0,0.5999999998008946,0.0,0.0,1.5431294504191656e-09,0.06161431624408642,0.2833788701622714,0.055006812249618245,0.0
