,vs_EqualWeight_weekly,vs_Markowitz_CVXPY_weekly,vs_HMM_MPC_CVXPY_weekly
2014-08-14,0.04171412399378838,0.056217834264448374,0.04397772736031191
2014-08-15,0.041480980778424215,0.05521188993100545,0.04326021336014185
2014-08-18,0.04288971013398579,0.05888497092484801,0.04667049361364706
2014-08-19,0.04296261784967714,0.05857068625674722,0.046343985566333235
2014-08-20,0.04341854865331385,0.06148266075126485,0.04910662097922902
2014-08-21,0.041802055872416366,0.06046267009663642,0.04817942114979257
2014-08-22,0.04306479900286542,0.06041581534792129,0.04800500257861007
2014-08-25,0.043864639463265576,0.060860602932309105,0.04786268152744655
2014-08-26,0.0445115229059867,0.061104690570561004,0.048602545792939544
2014-08-27,0.04411605743076352,0.06030000703410687,0.04744902074119173
2014-08-28,0.044128316890166275,0.059875302994700785,0.0465896404545203
2014-08-29,0.043706091949385684,0.059818239619826574,0.04648445605263518
2014-09-02,0.04501849816673453,0.06045757055271306,0.046827444588243505
2014-09-03,0.047568026237552186,0.06104453739265647,0.047505821278167604
2014-09-04,0.04597818732007086,0.05881491384146975,0.04523503654368222
2014-09-05,0.046148580586344634,0.057955181524299126,0.04454222269105479
2014-09-08,0.04926773069932078,0.06067734106710487,0.04727593319890988
2014-09-09,0.05200648401160102,0.06130723120087045,0.047438469753980916
2014-09-10,0.053576597884430255,0.060627502852609094,0.0464017799431109
2014-09-11,0.05136871832357803,0.05942416399187089,0.04547706800885254
2014-09-12,0.05140928305855663,0.06062247531769405,0.04634747947533313
2014-09-15,0.04979539507627573,0.05938400764036622,0.04487581367181548
2014-09-16,0.05244410547391554,0.06001812342934176,0.04544255650720541
2014-09-17,0.053559041426345155,0.06255649822382914,0.04789640032005704
2014-09-18,0.055941098326233396,0.06423211390036165,0.0493364926980997
2014-09-19,0.05637398850136899,0.06321287630921724,0.048531570602088125
2014-09-22,0.05783269323495244,0.0620122760127686,0.04711974726792878
2014-09-23,0.058049284501022314,0.06366390948024003,0.04840422954723245
2014-09-24,0.06289919968647362,0.062449172116685325,0.04735521144628163
2014-09-25,0.0619246041288366,0.06064751479670116,0.04619880316470426
2014-09-26,0.05923033299597891,0.061896322562592365,0.04715237995736565
2014-09-29,0.059332365508238505,0.062122363281067905,0.04664855324201156
2014-09-30,0.05909574502476045,0.06087428974019127,0.04471200007909215
2014-10-01,0.059772765069016964,0.057042160056799185,0.040392142561339384
2014-10-02,0.05836932721958399,0.05463348652906497,0.03852661757878706
2014-10-03,0.06410971389649789,0.05484135920116873,0.03927096368306526
2014-10-06,0.0625254776425157,0.054296329784183195,0.038244797556445276
2014-10-07,0.06028418451411954,0.0491883169199554,0.032341842437340285
2014-10-08,0.06539991498996378,0.052215351141386535,0.03468097441566531
2014-10-09,0.06616297679628946,0.04794661016276924,0.030001511586972285
2014-10-10,0.06595448034365803,0.03998319207679191,0.02195509258721673
2014-10-13,0.06319023963432424,0.03760789111338214,0.018883577608900026
2014-10-14,0.05990964506005381,0.03812074392596876,0.019131812600455156
2014-10-15,0.05980889753664487,0.04224059763535637,0.02332913446043472
2014-10-16,0.05602832737097274,0.04570825222188102,0.026601828699312602
2014-10-17,0.05870073987904423,0.04780020097586757,0.02890731586920947
2014-10-20,0.05890073864341927,0.045042809993554034,0.026135515511617857
2014-10-21,0.06322322119043666,0.05425342514127984,0.03494375615234846
2014-10-22,0.06446379125277768,0.04912417616420606,0.030190998524541657
2014-10-23,0.06863409808087084,0.05613247390619058,0.0368479777296471
2014-10-24,0.07373151232618369,0.057473201438619226,0.038508313819742845
2014-10-27,0.07668589657198455,0.05481652876250309,0.03590302888464847
2014-10-28,0.07477668912856261,0.05858985046679521,0.03951791345520017
2014-10-29,0.07519438181862315,0.05814029687136557,0.03911505354025757
2014-10-30,0.08190502056759974,0.058861661639167506,0.03976835684957836
2014-10-31,0.07797630088393959,0.06116861713172628,0.042019401853139904
2014-11-03,0.08021986890654409,0.059797419751469016,0.04064027348692889
2014-11-04,0.08394999469065278,0.05791161129942202,0.038806420819967435
2014-11-05,0.0780997492838782,0.05487394338101015,0.035757474484054974
2014-11-06,0.07706832703343092,0.056039988680449015,0.03699875885234216
2014-11-07,0.07018148951745196,0.05303404488140551,0.034010956084928656
2014-11-10,0.0747685999573362,0.05379916575922872,0.034765478540231154
2014-11-11,0.0765219826457968,0.05567953647477952,0.03660447074161288
2014-11-12,0.07718175857571263,0.05692632524804875,0.03799310311045967
2014-11-13,0.07859797998673712,0.05665582012696557,0.03783735441696057
2014-11-14,0.07485742211522717,0.05964013923558609,0.04070141025068086
2014-11-17,0.07789902113931557,0.05855102348033414,0.03922333741765116
2014-11-18,0.08305997506115337,0.060788632331854275,0.04139127711426216
2014-11-19,0.07838493338213826,0.05579116436459475,0.03683622345785986
2014-11-20,0.07450207322532831,0.05746067050489301,0.03856803901180306
2014-11-21,0.07176905949439849,0.0570393902738231,0.038140919252301675
2014-11-24,0.0738850634175856,0.0573724406635332,0.039215645652540765
2014-11-25,0.07623233266482132,0.05692094328969244,0.0390039855789901
2014-11-26,0.08188581912920645,0.05915183320687434,0.040744789891997035
2014-11-28,0.09450548151914484,0.05570797258353011,0.03771160080168712
2014-12-01,0.09700934489702795,0.056942746047888626,0.03838807381689291
2014-12-02,0.09796895500036107,0.0576190719313574,0.03906808742666601
2014-12-03,0.09434087568476968,0.06048949076555021,0.04254281530031179
2014-12-04,0.09497534341758285,0.06051300376554103,0.04257438613568376
2014-12-05,0.0980313625048943,0.05965189695502149,0.041896284020735086
2014-12-08,0.10883931357700893,0.06086571328763846,0.04313557752142061
2014-12-09,0.10656306941410398,0.062171385927022316,0.044562198313557344
2014-12-10,0.10862376771499371,0.06017842203893187,0.04241267564516149
2014-12-11,0.10883946123147736,0.058926178226030634,0.04119417428754013
2014-12-12,0.1110244440589574,0.057940180378048156,0.04059567324328772
2014-12-15,0.1094538361516395,0.05743959879256333,0.040110949937050444
2014-12-16,0.10544649360436731,0.0563851228295682,0.037880384822365665
2014-12-17,0.10263379223201508,0.05731933390866284,0.03941974450889507
2014-12-18,0.1063344812963305,0.0610219125423801,0.04299652017207478
2014-12-19,0.10138732917360027,0.061697768351888005,0.044012157770662697
2014-12-22,0.09475936979750843,0.05814165805503757,0.040318948347017436
2014-12-23,0.07873698523200079,0.05155643663870735,0.033637209944639146
2014-12-24,0.08647872765724096,0.0552839728909138,0.03699982795192058
2014-12-26,0.0908249818266591,0.057453145078255385,0.03920753890919948
2014-12-29,0.09211102974162677,0.05724025751010409,0.04053104652304729
2014-12-30,0.08968505941470828,0.05527296895359801,0.038498793429769806
2014-12-31,0.08778376643189345,0.053723569265577975,0.03796910853999669
2015-01-02,0.09071517230003345,0.05645388830118514,0.040384490511558235
2015-01-05,0.10196894633866127,0.05805393492875943,0.039534680712445036
2015-01-06,0.10692085706384158,0.05843925724537535,0.03782806866951649
2015-01-07,0.11294152750639541,0.05777634283863842,0.036749116732564424
2015-01-08,0.11092824268306511,0.05861915699196474,0.03767978366602032
2015-01-09,0.11223254708056363,0.06074959652249845,0.038935897494031035
2015-01-12,0.11790848423291478,0.06017489376016871,0.038120657521691914
2015-01-13,0.11900034081877964,0.05951675309278981,0.03748872115384261
2015-01-14,0.12435154820797112,0.06153851598855309,0.03900455917644763
2015-01-15,0.12412624001889783,0.05892499475885771,0.03554808174422219
2015-01-16,0.1250308442388255,0.060608400109404936,0.03756749248147617
2015-01-20,0.12559877943575293,0.061472787642739224,0.038228489713018954
2015-01-21,0.12169622068056851,0.06042443487469784,0.03742284873142987
2015-01-22,0.11784165578563854,0.06068697650691335,0.037021790403652055
2015-01-23,0.12206682111206879,0.06373471238124973,0.040743215096838314
2015-01-26,0.12055108791475111,0.06349452602538119,0.04076627951779899
2015-01-27,0.12093797753407265,0.06066398419464014,0.038698812073141964
2015-01-28,0.12581623358198968,0.062227221574483016,0.04028005185996064
2015-01-29,0.12573517574581428,0.062217753267964415,0.04072310193021922
2015-01-30,0.12037127188414565,0.06318907319101053,0.041829056572361134
2015-02-02,0.11348798676387606,0.06204063096311607,0.040106446316038546
2015-02-03,0.1046251782337495,0.06110492624373043,0.03957074994935117
2015-02-04,0.0998660571708696,0.05851109940220334,0.03664770402142947
2015-02-05,0.10209409251037882,0.06136743305062198,0.03977580750318532
2015-02-06,0.09142023404579613,0.06058848931116345,0.037233076433394796
2015-02-09,0.08648373225913542,0.06061532515375778,0.037347337520724944
2015-02-10,0.09359185384930258,0.06290367197681879,0.03976323935738835
2015-02-11,0.0919041292760514,0.060186611836902104,0.03681388514588413
2015-02-12,0.08635302550423463,0.06022999532793194,0.03705807041469167
2015-02-13,0.08274151089331694,0.061995939257610155,0.03923841858347421
2015-02-17,0.08550031836802341,0.06365026823139686,0.04096153842514649
2015-02-18,0.08965526642879951,0.06527249848862193,0.04492368405268343
2015-02-19,0.09034105239420565,0.06676100926247264,0.04531989774984346
2015-02-20,0.09326261204534325,0.06767390609659052,0.04565724086283107
2015-02-23,0.09774294278601436,0.06872187952080688,0.047343541308499715
2015-02-24,0.09537797543323423,0.0679748602788166,0.04703491140457161
2015-02-25,0.09195607155406393,0.06449058335985258,0.04176416769334601
2015-02-26,0.0972359425066569,0.06562989969306066,0.04204839474490041
2015-02-27,0.09578796878106632,0.06269585493962126,0.03894216705692366
2015-03-02,0.09515868665821503,0.0607436439931206,0.03456612097030498
2015-03-03,0.09269929633171459,0.06031973308484839,0.03500723560132535
2015-03-04,0.09795455147517962,0.06317025012248223,0.03782679046076476
2015-03-05,0.10081900828024537,0.06332232424266881,0.038512082750801646
2015-03-06,0.09600364146710061,0.06204575002309598,0.03569808691469056
2015-03-09,0.09750452008036836,0.06142968622803924,0.03482504497295613
2015-03-10,0.10168000845357472,0.0628985214323563,0.03747946943149816
2015-03-11,0.10079720579238005,0.06434035969106677,0.038638090723232876
2015-03-12,0.10130156703367121,0.062069607846742425,0.03662593460763719
2015-03-13,0.10411793506697253,0.06335629680569999,0.03764279662626269
2015-03-16,0.11088146413050581,0.06601697124957817,0.04062201092376494
2015-03-17,0.11338721931731599,0.06882608300509085,0.04369411887386421
2015-03-18,0.11511606594019885,0.07365941394031794,0.04962439642456529
2015-03-19,0.1237039353246907,0.07483602178433735,0.05044604673262798
2015-03-20,0.12129637492012901,0.07235919416020198,0.047822136797994075
2015-03-23,0.12207141192631088,0.07173516068537,0.047092727583899485
2015-03-24,0.11976973935521995,0.07101551368366965,0.04583628562316511
2015-03-25,0.11240166171116961,0.06483623754917778,0.03893209658406471
2015-03-26,0.11180924677018944,0.06627654561021612,0.03993474595994262
2015-03-27,0.11579199913929372,0.06556496072127027,0.039223354802993216
2015-03-30,0.11337661874966432,0.06625787389431093,0.04001240953227869
2015-03-31,0.10893796339196227,0.06471569924463894,0.039042193879720966
2015-04-01,0.10455489020175257,0.06268662864834762,0.03727515281088922
2015-04-02,0.10338672548068306,0.059642619913965245,0.03377485587373097
2015-04-06,0.10090600265452321,0.05987251037744201,0.03459993728433264
