,g5_a025_cap10_s1,g5_a025_cap25_s1,g5_a075_cap10_s1,g5_a075_cap25_s1,g5_a100_cap10_s1,g5_a100_cap25_s1,g8_a025_cap10_s1,g8_a025_cap25_s1,g8_a075_cap10_s1,g8_a075_cap25_s1,g8_a100_cap10_s1,g8_a100_cap25_s1
2013-07-29,0.0,0.0,8.110850356184999e-08,8.58350455517371e-08,3.0033158498399756e-07,1.7942330607901327e-09,4.163336342344337e-17,8.673617379884035e-19,0.03711405519576248,0.03544636151355232,1.108850784580157e-08,3.700290501193583e-16
2013-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-05,0.0,0.0,2.4758097617305062e-08,3.191345192704255e-08,1.0624421328459325e-07,6.669747885948763e-10,1.1449174941446927e-16,7.806255641895632e-17,0.04194144070475254,0.029786402860377446,2.9146525691804507e-09,3.964668145680165e-16
2013-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-12,0.0,6.245004513516506e-17,9.241999705467607e-09,1.1902649901887815e-08,5.6872193004920454e-08,2.489103803976347e-10,8.500145032286355e-17,7.806255641895632e-18,4.888982768802364e-08,2.3541049526139288e-08,1.5593577354228823e-09,3.358172780528984e-16
2013-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-19,0.0,0.0,3.4483162647506408e-09,4.441270216014955e-09,2.122229508388092e-08,9.305788084532985e-11,4.163336342344337e-17,3.469446951953614e-18,1.6901191365268524e-08,8.800185131775002e-09,5.819847513595759e-10,6.491369627564906e-17
2013-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-26,6.245004513516506e-17,0.0,1.2763879135626503e-09,1.645175421983591e-09,7.855859928293868e-09,3.44754396490029e-11,2.6020852139652106e-18,4.683753385137379e-17,6.265143709628608e-09,3.2589749190148167e-09,2.1538835982828566e-10,2.3739699984929296e-17
2013-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
